run,        computer,   date,       h res,  v res,      domain,     dt, rbcs,       eos,    f0,         beta,       description,
mrb_021**,  Albedo,     12.02.2025, 20,     variable,   100x100,    3,  no,         lin,    -1.358E-4,  -2.129E-11, Initial T (in-situ) and S (abs) from WOA (aut) and Q=75W and no sponges and no saltStepping=F *accid. used SA*, #cf mrb020
mrb_022,    Albedo,     14.02.2025, 20,     variable,   100x100,    3,  no,         teos10, -1.358E-4,  -2.129E-11, Initial T (in-situ) and S (abs) from WOA (aut) and Q=825W and no sponges and no saltStepping=F,
mrb_023**,  Albedo,     14.02.2025, 20,     variable,   100x100,    3,  no,         teos10, -1.358E-4,  -2.129E-11, Initial T (in-situ) and S (pract) from WOA (aut) and Q=825W and no sponges and no saltStepping=F,
mrb_024,    Albedo,     18.02.2025, 20,     variable,   100x100,    3,  no,         lin,    -1.358E-4,  -2.129E-11, Initial T (in-situ) and S (pract) from WOA (aut) and Q=75W and no sponges and no saltStepping=F,
mrb_025**,  Albedo,     24.02.2025, 20,     variable,   100x100,    3,  no,         teos10, -1.358E-4,  -2.129E-11, Initial T (in-situ) from WOA and const. S (34.8) and Q=150W and no sponges and no saltStepping=F,	
mrb_026**,  Albedo,     24.02.2025, 20,     variable,   100x100,    3,  no,         teos10, -1.358E-4,  -2.129E-11, Initial T (in-situ) from WOA and const. S (34.8) and periodic Q=150W and no sponges and no saltStepping=F, 
mrb_027**,  Albedo,     25.02.2025, 20,     variable,   100x100,    3,  no,         teos10, -1.358E-4,  -2.129E-11, Initial T (in-situ) and S (pract; 0.5 x deviation) from WOA (aut) signal and periodic Q=150W and no sponges and no saltStepping=F,
mrb_028,    Albedo,     26.02.2025, 20,     variable,   100x100,    3,  no,         teos10, -1.358E-4,  -2.129E-11, Initial T (theta) and S (abs; 0.9 x deviation) from WOA and Q=150W and no sponges and no saltStepping=F,
mrb_029,    Albedo,     28.02.2025, 20,     variable,   100x100,    3,  no,         teos10, -1.358E-4,  -2.129E-11, Initial T (theta) and S (abs) from mooring (simplified) and Q=2500W and no sponges and no saltStepping=F and g=9.81,
mrb_030,    Albedo,     02.03.2025, 20,     variable,   100x100,    3,  no,         teos10, -1.358E-4,  -2.129E-11, Initial T (theta) and S (abs) from mooring (simplified) and Q=10000W and no sponges and no saltStepping=F and g=9.81,
mrb_031**,  Albedo,     03.03.2025, 20,     variable,   100x100,    3,  tau=86400,  teos10, -1.358E-4,  -2.129E-11, Initial T (theta) and S (abs) from mooring (simplified) and Q=0W and side+bottom sponges 5 cells deep and no saltStepping=F and g=9.81,
mrb_032**,  Albedo,     03.03.2025, 20,     variable,   150x150,    3,  tau=86400,  teos10, -1.358E-4,  -2.129E-11, Initial T (theta) and S (abs) from mooring (simplified) and Q=2500W and side+bottom sponges 5 cells deep and no saltStepping=F and g=9.81,
mrb_033***, Albedo,     04.03.2025, 20,  var (500 m),   150x150,    3,  tau=86400,  teos10, -1.358E-4,  -2.129E-11, Initial T (theta) and S (abs) from mooring (woa above and below) and periodic Q=2500W and side+bottom sponges 5 cells deep and no saltStepping=F and g=9.81,
mrb_034***, Albedo,     06.03.2025, 20,  var (500 m),   150x150,    3,  tau=86400,  teos10, -1.358E-4,  -2.129E-11, Initial T (theta) and S (abs) from mooring (woa above and below) and Q=2500W and side+bottom sponges 5 cells deep and no saltStepping=F and g=9.81,
mrb_035**,  Albedo,     12.03.2025, 20,  var (500 m),   150x150,    3,  tau=86400,  teos10, -1.358E-4,   8.194E-12, Initial T (theta) and S (abs) from mooring (woa above and below) and Q=2500W and side+bottom sponges 5 cells deep and no saltStepping=F and g=9.81,

Planned run(s):
mrb_036,    Albedo,       .03.2025, 20,  var (500 m),   150x150,    3,  tau=86400,  teos10, -1.358E-4,   8.194E-12, Initial T (theta) and S (abs) from mooring (woa above and below) ... bottom rbcs only? different more defensible periodic surface forcing? random init velocities? at surface only? (*ie more like boshakh's paper*)

*   means deleted
**  means deleted MDS binaries but saved metadata
*** means moved to the group so-clim directory
